Ames; Joseph (1689 - 1759),Fellow,15/12/1743
Amman; John (1707 - 1741),Fellow,18/03/1731
Amoroso; Emmanuel Ciprian (1901 - 1982),Fellow,21/03/1957
Amos; William Bradshaw,Fellow,17/05/2007
Ampere; Andre-Marie (1775 - 1836),Foreign Member,8/03/1827
Amyand; Claude (- 1740),Fellow,5/04/1716
Amyot; Thomas (1775 - 1850),Fellow,22/01/1824
Anderdon; John Proctor (c 1761 - 1846),Fellow,23/05/1811
Andersen; Per Oskar,Foreign Member,13/05/2002
Anderson; Brian David Outram,Fellow,16/03/1989
Anderson; Donald Thomas,Fellow,17/03/1977
Anderson; Ephraim Saul (1911 - 2006),Fellow,21/03/1968
Anderson; Harold [Harry] Laurence (1964 -),Fellow,02/05/2013
Anderson; Jan Mary (1952 - 2015),Fellow,14/03/1996
Anderson; John (1726 - 1796),Fellow,1/02/1759
Anderson; John (1833 - 1900),Fellow,12/06/1879
Anderson; John (1882 - 1958); 1st Viscount Waverley,Statute 12,14/06/1945
Anderson; John Stuart (1908 - 1990),Fellow,19/03/1953
Anderson; Philip Warren,Foreign Member,24/04/1980
Anderson; Ross John,Fellow,14/05/2009
Anderson; Sir; Hugh Kerr (1865 - 1928),Fellow,02/05/1907
Anderson; Sir; Roy Malcolm,Fellow,20/03/1986
Anderson; Sir; William (1835 - 1898),Fellow,4/06/1891
Andrade; Antonio Freyre de (- 1772),Fellow,4/05/1749
Andrade; Edward Neville da Costa (1887 - 1971); Physicist,Fellow,16/05/1935
Andrew; Edward Raymond (1921 - 2001),Fellow,15/03/1984
Andrew; James (1774 - 1833),Fellow,29/03/1821
Andrew; Sydney Percy Smith (1926 - 2011),Fellow,18/03/1976
Andrewes; Christopher Howard (1896 - 1988),Fellow,16/03/1939
Andrewes; Sir; Frederick William (1859 - 1932),Fellow,06/05/1915
Andrews; Charles William (1866 - 1924),Fellow,03/05/1906
Andrews; Joseph (c 1691 - 1753),Fellow,9/03/1727
Andrews; Thomas (1813 - 1885); Chemist,Fellow,7/06/1849
Andrews; Thomas (1847 - 1907),Fellow,7/06/1888
Angel; James Roger Prior,Fellow,15/03/1990
Angstrom; Anders Jonas (1814 - 1874),Foreign Member,24/11/1870
Anguish; Thomas (c 1724 - 1785),Fellow,24/04/1766
Anker; Bernt (1746 - 1805),Fellow,7/11/1782
Anker; Carsten (1747 - 1824),Fellow,1/03/1804
Anne Elizabeth Alice Louise; Princess Royal,Royal Fellow,12/02/1987
Annesley; Arthur (1614 - 1686); 1st Earl of Anglesey,Fellow,16/04/1668
Annesley; Arthur (1744 - 1816); 1st Earl of Mountnorris,Fellow,18/12/1800
Annesley; Francis (1663 - 1750),Fellow,30/11/1704
Annesley; George (1771 - 1844); 2nd Earl of Mountnorris,Fellow,24/11/1796
Annesley; James (1645 - 1690); 2nd Earl of Anglesey,Original Fellow,7/01/1663
Annesley; James (c 1780 - 1847),Fellow,30/01/1840
Anrep; Gleb (c 1890 - 1955),Fellow,10/05/1928
Ansell; Charles (1794 - 1881),Fellow,10/04/1834
Anson; George (1697 - 1762); Baron Anson of Soberton,Fellow,5/12/1745
Anson; Thomas (c 1696 - 1773),Fellow,14/05/1730
Ansted; David Thomas (1814 - 1880),Fellow,11/01/1844
Anteny; Gebhard D' (fl 1723),Fellow,2/05/1723
Antonovics; Janis,Fellow,17/03/1988
Antrobus; Sir; Edmund (- 1826),Fellow,26/03/1801
Apjohn; James (1796 - 1886),Fellow,2/06/1853
Appleton; Sir; Edward Victor (1892 - 1965),Fellow,12/05/1927
Appold; John George (1800 - 1865),Fellow,2/06/1853
Aquino; Francesco d' (1736 - 1795); Prince of Caramanico,Fellow,5/06/1783
Arago; Dominique Francois Jean (1786 - 1853),Foreign Member,12/03/1818
Aragona; Nicolo Alerbo d' (fl 1719 - 1723); Prince of Cassano,Fellow,21/03/1723
Arber; Agnes (1879 - 1960),Fellow,21/03/1946
Arbuthnot; John (1667 - 1735),Fellow,30/11/1704
Arbuthnot; John (c 1732 - c 1799),Fellow,22/11/1770
Archer; William (1830 - 1897),Fellow,3/06/1875
Archibald; Charles Dickson (c 1802 - 1868),Fellow,26/11/1840
Arden-Close; Sir; Charles Frederick (1865 - 1952),Fellow,15/05/1919
Arden; Charles George (1756 - 1840); Baron Arden,Fellow,19/01/1786
Arden; Richard Pepper (1744 - 1804); Baron Alvanley,Fellow,13/11/1788
Arderne; James (c 1636 - 1691),Fellow,11/06/1668
Arderon; William (1703 - 1767); Naturalist,Fellow,12/12/1745
Argelander; Friedrich Wilhelm August (1799 - 1875),Foreign Member,23/04/1846
Argenville; Antoine Joseph Degallier D' (1680 - 1765),Fellow,22/03/1750
Argyris; John (1916 - 2004),Fellow,20/03/1986
Arigoni; Duilio,Foreign Member,20/06/1991
Arkell; William Joscelyn (1904 - 1958),Fellow,20/03/1947
Arkwright; Sir; Joseph Arthur (1864 - 1944),Fellow,06/05/1926
Armes; Steven Peter (1962 -),Fellow,01/05/2014
Armitage; Judith,Fellow,02/05/2013
Armstrong; Edward Frankland (1878 - 1945); Chemist,Fellow,13/05/1920
Armstrong; Fraser Andrew,Fellow,15/05/2008
Armstrong; Henry Edward (1848 - 1937); Chemist and Educationist,Fellow,1/06/1876
Armstrong; John (1674 - 1742),Fellow,2/05/1723
Armstrong; Robert Young (1839 - 1894),Fellow,2/06/1892
Armstrong; Sir; Alexander (1818 - 1899),Fellow,12/06/1873
Armstrong; William George (1810 - 1900); Baron Armstrong of Cragside,Fellow,7/05/1846
Arndt; Ulrich Wolfgang (1924 - 2006),Fellow,18/03/1982
Arnold; James Henry (c 1759 - 1836),Fellow,20/03/1806
Arnold; John Oliver (1858 - 1930),Fellow,02/05/1912
Arnold; Polly Louise,Fellow,09/05/2018
Arnold; Vladimir Igorevich,Foreign Member,30/06/1988
Arnott; James Moncrieff (1794 - 1885),Fellow,25/05/1843
Arnott; Neil (1788 - 1874),Fellow,25/01/1838
Arnott; Struther (1934 - 2013),Fellow,21/03/1985
Arrhenius; Svante August (1859 - 1927),Foreign Member,30/06/1910
Arrow; Kenneth Joseph,Foreign Member,18/05/2006
Arthington; Cyril (c 1666 - 1720),Fellow,31/12/1701
Arthur William Patrick Albert (1850 - 1942); Duke of Connaught and Strathearn,Royal Fellow,08/11/1906
Arthur; James Greig,Fellow,12/03/1992
Arundel; Richard (- 1757),Fellow,20/11/1740
Ascanius; Peter (fl 1755),Fellow,11/12/1755
Ash; Edward (c 1764 - 1829),Fellow,18/06/1801
Ash; John (c 1723 - 1798),Fellow,8/11/1787
Ash; Sir; Eric Albert (1928 -),Fellow,17/03/1977
Ashburner; Michael,Fellow,15/03/1990
"Ashby; Eric (1904 - 1992); Baron Ashby of Brandon, Suffolk",Fellow,21/03/1963
Ashby; Michael Farries,Fellow,15/03/1979
Ashby; Shukbrugh (- 1792),Fellow,18/03/1756
Ashcroft; Frances Mary,Fellow,13/05/1999
Ashe; St George (? 1658 - 1718),Fellow,3/02/1686
Ashe; William Windham (fl 1749),Fellow,19/01/1749
Ashfold; Michael Norman,Fellow,14/05/2009
Ashmole; Elias (1617 - 1692),Original Fellow,2/01/1661
Ashmore; Jonathan Felix,Fellow,14/03/1996
Ashton; Norman Henry (1913 - 2000),Fellow,18/03/1971
Ashworth; Alan,Fellow,15/05/2008
Ashworth; James Hartley (1874 - 1936),Fellow,03/05/1917
Askew; Anthony (1722 - 1774),Fellow,1/02/1750
Askonas; Brigitte Alice (1923 - 2013),Fellow,15/03/1973
Aspect; Alain,Foreign Member,30/04/2015
Asquith; Herbert Henry (1852 - 1928); 1st Earl of Oxford and Asquith,Statute 12,05/11/1908
Assemanni; Stephanus Evodius (1707 - 1782),Fellow,19/01/1738
Assheton; Richard (1863 - 1915),Fellow,07/05/1914
Astbury; Alan (1934 - 2014),Fellow,11/03/1993
Astbury; William Thomas (1898 - 1961),Fellow,14/03/1940
Astle; Edward (- 1816),Fellow,2/06/1808
Astle; Thomas (1735 - 1803),Fellow,20/03/1766
Aston; Francis (1644 - 1715),Fellow,30/11/1678
Aston; Francis William (1877 - 1945),Fellow,12/05/1921
Atcherley; David Francis (1783 - 1845),Fellow,4/02/1841
Atiyah; Sir; Michael Francis (1929 - 2019),Fellow,15/03/1962
Atkins; William Ringrose Gelston (1884 - 1959),Fellow,07/05/1925
Atkinson; Colin,Fellow,14/05/1998
Atkyns; Sir; Robert (1647 - 1711),Fellow,9/11/1664
Attenborough; Sir; David Frederick,Statute 12,30/06/1983
Attfield; John (1835 - 1911),Fellow,3/06/1880
Attfield; Paul,Fellow,01/05/2014
Attlee; Clement Richard (1883 - 1967); 1st Earl Attlee,Fellow,15/05/1947
Attwell; David Ian,Fellow,10/05/2001
Atwell; Joseph (c 1696 - 1768),Fellow,20/03/1729
Atwood; George (1746 - 1807),Fellow,13/06/1776
Aubant; Abraham D' (fl 1791),Fellow,5/05/1791
Aubert; Alexander (1730 - 1805),Fellow,9/01/1772
Aubrey; John (1626 - 1697); Antiquary,Original Fellow,7/01/1663
Audubon; John James (1785 - 1851),Fellow,18/03/1830
Auerbach; Charlotte (1899 - 1994),Fellow,21/03/1957
Augustus Frederick (1773 - 1843); Duke of Sussex,Royal Fellow,22/05/1828
Auldjo; John (1805 - 1886),Fellow,07/05/1840
Aumont de Rochebaron; Louis D' (1667 - 1723); Duc d'Aumont,Fellow,21/05/1713
Auriol; James Peter (fl 1808),Fellow,14/01/1808
Aust; George (- c 1829),Fellow,9/03/1797
Austen; John (1613 - 1669),Original Fellow,12/12/1660
Austen; Karl Frank,Foreign Member,27/05/2004
Auvergne; Philip D' (1754 - 1816); Duc de Bouillon,Fellow,11/05/1786
Auwers; Arthur (1838 - 1915),Foreign Member,3/04/1879
Auzout; Adrian (1622 - 1691); Physician and Astronomer,Fellow,23/05/1666
Averani; Giuseppe (1662 - 1738),Fellow,23/10/1712
Avery; Oswald Theodore (1877 - 1955),Foreign Member,15/06/1944
Axel; Richard,Foreign Member,30/04/2014
Axelrod; Julius (1912 - 2004),Foreign Member,26/04/1979
Axford; Sir; William Ian,Fellow,20/03/1986
Ayloffe; Sir; Joseph (1709 - 1781),Fellow,27/05/1731
Ayres; Charles Nicholas (fl 1708),Fellow,30/11/1708
Ayres; Thomas (- 1715),Fellow,1/12/1707
Ayrton; William (1777 - 1858),Fellow,1/06/1837
Ayrton; William Edward (1847 - 1908),Fellow,2/06/1881
Azevado Coutinho; Marco Antonio de (1688 - 1750),Fellow,6/05/1736
